x-axis,1
second,Volt
-17.14844E+00,+2.32444E+00
-17.10938E+00,+2.31062E+00
-17.07031E+00,+2.32444E+00
-17.03125E+00,+2.27419E+00
-16.99219E+00,+2.23524E+00
-16.95313E+00,+2.21891E+00
-16.91406E+00,+2.23398E+00
-16.87500E+00,+2.25157E+00
-16.83594E+00,+2.28549E+00
-16.79688E+00,+2.33449E+00
-16.75781E+00,+2.34579E+00
-16.71875E+00,+2.35710E+00
-16.67969E+00,+2.39604E+00
-16.64063E+00,+2.41363E+00
-16.60156E+00,+2.43373E+00
-16.56250E+00,+2.47645E+00
-16.52344E+00,+2.51916E+00
-16.48438E+00,+2.56062E+00
-16.44531E+00,+2.59831E+00
-16.40625E+00,+2.61464E+00
-16.36719E+00,+2.61212E+00
-16.32813E+00,+2.56564E+00
-16.28906E+00,+2.55057E+00
-16.25000E+00,+2.59956E+00
-16.21094E+00,+2.53172E+00
-16.17188E+00,+2.46891E+00
-16.13281E+00,+2.48147E+00
-16.09375E+00,+2.36212E+00
-16.05469E+00,+2.39604E+00
-16.01563E+00,+2.39730E+00
-15.97656E+00,+2.35082E+00
-15.93750E+00,+2.35961E+00
-15.89844E+00,+2.41740E+00
-15.85938E+00,+2.45760E+00
-15.82031E+00,+2.50408E+00
-15.78125E+00,+2.53047E+00
-15.74219E+00,+2.52670E+00
-15.70313E+00,+2.50032E+00
-15.66406E+00,+2.49278E+00
-15.62500E+00,+2.51916E+00
-15.58594E+00,+2.53047E+00
-15.54688E+00,+2.50660E+00
-15.50781E+00,+2.47896E+00
-15.46875E+00,+2.47770E+00
-15.42969E+00,+2.51162E+00
-15.39063E+00,+2.53926E+00
-15.35156E+00,+2.53424E+00
-15.31250E+00,+2.52167E+00
-15.27344E+00,+2.54052E+00
-15.23438E+00,+2.55685E+00
-15.19531E+00,+2.54052E+00
-15.15625E+00,+2.57318E+00
-15.11719E+00,+2.52419E+00
-15.07813E+00,+2.55182E+00
-15.03906E+00,+2.59956E+00
-15.00000E+00,+2.58197E+00
-14.96094E+00,+2.53424E+00
-14.92188E+00,+2.49403E+00
-14.88281E+00,+2.51916E+00
-14.84375E+00,+2.53926E+00
-14.80469E+00,+2.50785E+00
-14.76563E+00,+2.45760E+00
-14.72656E+00,+2.45760E+00
-14.68750E+00,+2.50032E+00
-14.64844E+00,+2.49278E+00
-14.60938E+00,+2.46137E+00
-14.57031E+00,+2.50032E+00
-14.53125E+00,+2.53298E+00
-14.49219E+00,+2.51665E+00
-14.45313E+00,+2.50534E+00
-14.41406E+00,+2.52167E+00
-14.37500E+00,+2.53675E+00
-14.33594E+00,+2.51790E+00
-14.29688E+00,+2.45006E+00
-14.25781E+00,+2.48524E+00
-14.21875E+00,+2.51916E+00
-14.17969E+00,+2.52042E+00
-14.14063E+00,+2.49027E+00
-14.10156E+00,+2.47016E+00
-14.06250E+00,+2.52042E+00
-14.02344E+00,+2.53800E+00
-13.98438E+00,+2.52544E+00
-13.94531E+00,+2.53047E+00
-13.90625E+00,+2.53800E+00
-13.86719E+00,+2.51916E+00
-13.82813E+00,+2.52042E+00
-13.78906E+00,+2.51665E+00
-13.75000E+00,+2.48524E+00
-13.71094E+00,+2.50408E+00
-13.67188E+00,+2.54052E+00
-13.63281E+00,+2.51539E+00
-13.59375E+00,+2.45383E+00
-13.55469E+00,+2.47645E+00
-13.51563E+00,+2.51790E+00
-13.47656E+00,+2.49780E+00
-13.43750E+00,+2.44881E+00
-13.39844E+00,+2.43122E+00
-13.35938E+00,+2.48398E+00
-13.32031E+00,+2.53424E+00
